FID,Shape ,AREA,lake_id,Jurisdicti,PERIM,X_CENTER,Y_CENTER,HA,Shape_Leng,Shape_Area,Lat,Lon
178,Polygon,1995.832,72623,YOSE,235.032034,261662.6983,4220795.28,0.199585,235.032034,1995.853138,38.10355794,-119.7182122
179,Polygon,1853.516,72577,YOSE,193.753184,276267.1428,4220741.881,0.185354,193.753184,1853.543477,38.10681147,-119.5517906
180,Polygon,1264.813,72346,YOSE,144.709259,277081.9002,4220759.514,0.126484,144.709259,1264.838759,38.10717163,-119.5425118
181,Polygon,359.7578,71359,YOSE,74.914178,267990.9815,4220710.477,0.035976,74.914178,359.763845,38.10444147,-119.6460832
182,Polygon,289.2969,71207,YOSE,67.595667,267887.5618,4220695.941,0.02893,67.595667,289.300173,38.10428404,-119.6472568
183,Polygon,7566.031,70131,YOSE,647.676227,269622.2824,4220582.331,0.756614,647.676227,7566.141213,38.10370513,-119.6274548
184,Polygon,391.3594,71420,YOSE,81.418091,267838.7658,4220676.839,0.039136,81.418091,391.363331,38.10409953,-119.6478065
185,Polygon,868.9922,72069,YOSE,135.409006,286760.6812,4220658.288,0.086902,135.409006,869.018441,38.10859653,-119.4321832
186,Polygon,541.7813,71694,YOSE,102.086867,267801.1793,4220646.06,0.054179,102.086867,541.787311,38.10381276,-119.6482248
187,Polygon,1832.797,72571,YOSE,195.76182,263958.9139,4220631.318,0.183282,195.76182,1832.816677,38.10268456,-119.6919967
188,Polygon,12068.72,70684,YOSE,699.698683,270584.8698,4220526.901,1.20689,699.698683,12068.88106,38.10345099,-119.6164693
189,Polygon,2110.859,72645,YOSE,187.261017,263793.6545,4220591.547,0.211088,187.261017,2110.882361,38.10228332,-119.6938663
190,Polygon,769.9219,71986,YOSE,123.69185,267311.8454,4220571.226,0.076993,123.69185,769.932558,38.10301315,-119.6537757
191,Polygon,556.9531,71713,YOSE,92.196519,267228.8976,4220578.383,0.055696,92.196519,556.960022,38.10305622,-119.6547231
192,Polygon,561.8828,71723,YOSE,90.741296,268019.7189,4220552.928,0.056189,90.741296,561.8896,38.10303042,-119.6457045
193,Polygon,584.9297,71758,YOSE,89.692914,267782.7217,4220547.089,0.058494,89.692914,584.938483,38.10291698,-119.6484029
194,Polygon,617.2031,71806,YOSE,97.234352,267363.3422,4220533.115,0.061721,97.234352,617.21103,38.1026833,-119.6531766
